train_type,coach_no,seat_no,service_class,is_window,is_aisle,is_table,is_forward_msk_spb,is_service,is_free_seating,is_small_pet,is_animal,is_mgn
SAPSAN_TYPE2_UPDATED_FAMILY,4,24,2Р,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,25,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,26,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,27,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,28,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,29,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,30,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,31,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,32,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,33,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,34,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,35,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,36,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,37,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,38,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,39,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,40,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,41,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,42,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,43,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,44,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,45,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,46,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,47,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,48,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,49,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,50,2Р,0,1,0,1,0,0,0,0,0
